Well_Name,depth,AC,At10,At20,At30,At60,At90,CNL,DEN,GR,PE,SP,RESULT(OG_DZFC),LITH
城96,1980.93859,227.3278503,24.91573906,29.63240814,28.99894714,27.32650566,26.49720001,20.51000023,2.691343546,138.5769043,3.417021036,71.19541168,chang7,3
城96,1981.06359,226.194458,25.61279869,30.51246643,29.87059402,28.16073227,27.21545029,20.20000076,2.686500311,139.5722961,3.44162035,71.32292175,chang7,3
城96,1981.18859,224.8752289,26.6436367,31.78604317,31.15583992,29.35449028,28.32219505,19.82999992,2.68180871,138.891098,3.465399742,71.46363068,chang7,3
城96,1981.31359,221.1773224,28.00823021,33.50852966,32.90343094,31.10872459,29.8622818,19.35000038,2.682603598,136.8511963,3.471080542,71.59011078,chang7,3
城96,1981.43859,214.658493,29.41251373,35.6618309,35.14983749,33.22745514,31.89827919,18.44000053,2.681853056,130.1683044,3.507568598,71.6701355,chang7,3
城96,1981.56359,208.4839935,30.95259476,38.29339218,37.92461777,35.65336609,34.24018478,16.29000092,2.694118977,118.1455994,3.526609659,71.69723511,chang7,3
城96,1981.68859,205.0160217,32.2200737,40.35346222,40.17067337,37.71691132,36.21601105,14.06999969,2.707447052,109.1076965,3.534159184,71.70920563,chang7,3
城96,1981.81359,204.3394165,32.5403595,40.81650925,40.88114929,38.46190643,36.94017792,12.93999958,2.707534313,104.3154984,3.551847219,71.72782898,chang7,3
城96,1981.93859,206.8200989,31.05494308,39.46621704,39.75768661,37.47628021,36.10189819,13.1600008,2.700076342,105.2460022,3.532637358,71.75978088,chang7,3
城96,1982.06359,212.191803,28.91891479,36.82705307,37.1857872,35.27080154,34.06649017,14.21999931,2.683621645,112.8702011,3.492101431,71.80224609,chang7,3
城96,1982.18859,218.0966949,27.71460152,34.33036423,34.72602463,32.87558365,32.05012131,16.09000015,2.678898811,121.9413986,3.419169664,71.84525299,chang7,3
城96,1982.31359,222.5708923,26.46627617,32.30681229,32.63694763,30.94857788,30.22146034,17.31999969,2.681089401,126.4335022,3.356771231,71.85568237,chang7,3
城96,1982.43859,225.6716309,25.37454796,30.79055977,31.09069443,29.6999836,29.08288002,18.42000008,2.689944029,129.6452026,3.304188013,71.89044189,chang7,3
城96,1982.56359,227.8265381,24.97612,30.08757782,30.44053459,29.41917038,28.97300339,19.5,2.688522577,131.5688019,3.316861153,71.94216156,chang7,3
城96,1982.68859,229.185379,25.24403763,30.27750969,30.70286369,29.84706306,29.47527313,20.46000099,2.686978817,132.0549011,3.346879244,72.02345276,chang7,3
城96,1982.81359,229.5530548,25.73952484,30.97535896,31.38760567,30.65827751,30.36446762,21.03000069,2.68930912,132.0549011,3.390254974,72.15055847,chang7,3
城96,1982.93859,229.209259,25.70795822,31.59617424,31.93115616,31.44540596,31.24676514,21.25999832,2.693297863,127.8117981,3.426050901,72.30254364,chang7,3
城96,1983.06359,230.3297272,25.99957085,32.25131607,32.80292511,32.54192352,32.5592804,21.15999985,2.693295956,122.1427002,3.419270515,72.36898804,chang7,3
城96,1983.18859,234.9456787,26.25419998,32.81630325,33.34578323,32.99090958,33.03167343,21.69000053,2.685019016,120.4246979,3.392956018,72.38157654,chang7,3
