iter	MultiClass
278	0.3320637267
279	0.3312801662
280	0.3299947746
281	0.3287170419
282	0.3277907119
283	0.3267796426
284	0.3255196626
285	0.3246537926
286	0.3233676103
287	0.322627378
288	0.321546379
289	0.320353673
290	0.3195522503
291	0.3188052504
292	0.3180840348
293	0.3172894491
294	0.3163048608
295	0.3154901839
296	0.3146941868
297	0.3138732483
298	0.3127606714
299	0.3119432604
300	0.3112915178
301	0.3104164807
302	0.3091208029
303	0.3084616029
304	0.3076715705
305	0.3065174046
306	0.3055434579
307	0.3048288615
308	0.3038904103
309	0.302809171
310	0.3022948023
311	0.3016477454
312	0.3005102379
313	0.2999288084
314	0.2990115818
315	0.2980461042
316	0.297179457
317	0.2963791007
318	0.2958478991
319	0.2951649663
320	0.2943452118
321	0.2936875493
322	0.292876803
323	0.291833371
324	0.2908698149
325	0.2903919003
326	0.2894992478
327	0.2885308388
328	0.2878851653
329	0.2871997028
330	0.286490981
331	0.285877002
332	0.285150181
333	0.2843065281
334	0.2839020507
335	0.2832651659
336	0.2823413448
337	0.2817575722
338	0.2811812824
339	0.2798722957
340	0.2792355872
341	0.2786256459
342	0.2780177298
343	0.2772686804
344	0.276633833
345	0.276111895
346	0.2754114788
347	0.2745889641
348	0.2742491253
349	0.273513587
350	0.2725648197
351	0.271826782
352	0.2708674855
353	0.2698183457
354	0.2690217617
355	0.2682379582
356	0.2677631603
357	0.2670639437
358	0.2663260955
359	0.2655903284
360	0.2651203577
361	0.2645302696
362	0.2633151679
363	0.262572417
364	0.261875113
365	0.2613932963
366	0.2606633188
367	0.2600845181
368	0.2595420177
369	0.2586902125
370	0.2579468748
371	0.2573947922
372	0.2569368042
373	0.256262034
374	0.2557387867
375	0.2549417155
376	0.2544918182
377	0.254063593
378	0.253479169
379	0.2528174411
380	0.2522259882
381	0.2517106292
382	0.2511803387
383	0.2504753263
384	0.2498415196
385	0.2491752103
386	0.2483185656
387	0.2474386587
388	0.2467983807
389	0.2463139626
390	0.2460159875
391	0.2454735355
392	0.2449396911
393	0.2440850829
394	0.2433162029
395	0.2426677513
396	0.2421784312
397	0.2417440057
398	0.2413207484
399	0.2405579811
400	0.2397972627
401	0.2392978104
402	0.2388786987
403	0.2382250729
404	0.2376227345
405	0.2370099324
406	0.236244178
407	0.2358990246
408	0.2354464389
409	0.2348255523
410	0.2340435509
411	0.2333194668
412	0.232572761
413	0.2317578059
414	0.2310069502
415	0.2304153244
416	0.2296699863
417	0.2291599677
418	0.2286959435
419	0.2282486194
420	0.2278163928
421	0.2273665749
422	0.2269169132
423	0.226268292
424	0.225798253
425	0.2255398251
426	0.225023795
427	0.2247470596
428	0.224351879
429	0.2238657579
430	0.2233443239
431	0.2229036139
432	0.2224385934
433	0.2219583145
434	0.221427331
435	0.220927491
436	0.2204696076
437	0.2200544988
438	0.2195889452
439	0.2191575921
440	0.218672214
441	0.2183318907
442	0.2176652783
443	0.2170289097
444	0.2164190681
445	0.2159146998
446	0.2153402062
447	0.2148415887
448	0.2143643923
449	0.2141223321
450	0.2135140696
451	0.2130462068
452	0.2123661269
453	0.2119180254
454	0.2110739384
455	0.2105781207
456	0.2100286067
457	0.2095428323
458	0.2091279997
459	0.2085643253
460	0.2079669593
461	0.2075464871
462	0.2070473742
463	0.2066680935
464	0.2061181399
465	0.2054624724
466	0.2051315502
467	0.2044895415
468	0.2040626068
469	0.203713366
470	0.2033919455
471	0.2027409643
472	0.2023732199
473	0.2019093612
474	0.2015150986
475	0.2011707195
476	0.2007626789
477	0.200350241
478	0.1999237091
479	0.1994009746
480	0.1990163078
481	0.1986143836
482	0.1982847143
483	0.1977107072
484	0.1972981426
485	0.1967391522
486	0.1963741029
487	0.1960324439
488	0.1957254165
489	0.1953689426
490	0.1949468381
491	0.1945127359
492	0.1941961952
493	0.1939328522
494	0.193599165
495	0.1931114546
496	0.1927112308
497	0.1921863054
498	0.1918145566
499	0.1915886823
